movie_title,genres,production_budget,worldwide_gross,Revenue,domestic_gross,start_year,release_date,runtime_minutes,averagerating,numvotes
Star Trek Beyond,"Action,Adventure,Sci-Fi",185000000.0,335802233.0,150802233.0,158848340.0,2016,22-07-2016,122.0,7.1,209844
Blade Runner 2049,"Drama,Mystery,Sci-Fi",185000000.0,259357408.0,74357408.0,92054159.0,2017,06-10-2017,164.0,8.0,376241
Aladdin,"Adventure,Comedy,Family",182000000.0,619234314.0,437234314.0,246734314.0,2019,24-05-2019,128.0,7.4,57549
Aladdin,"Adventure,Comedy,Family",28000000.0,504050219.0,476050219.0,217350219.0,2019,11-11-1992,128.0,7.4,57549
Thor: Ragnarok,"Action,Adventure,Comedy",180000000.0,846980024.0,666980024.0,315058289.0,2017,03-11-2017,130.0,7.9,482995
Maleficent,"Action,Adventure,Family",180000000.0,758536735.0,578536735.0,241407328.0,2014,30-05-2014,97.0,7.0,305832
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",180000000.0,802402853.0,622402853.0,234037575.0,2016,18-11-2016,132.0,7.3,365353
The Legend of Tarzan,"Action,Adventure,Drama",180000000.0,348902025.0,168902025.0,126643061.0,2016,01-07-2016,110.0,6.3,150154
Hugo,"Adventure,Drama,Family",180000000.0,180047784.0,47784.0,73864507.0,2011,23-11-2011,126.0,7.5,284869
Hugo,Documentary,180000000.0,180047784.0,47784.0,73864507.0,2017,23-11-2011,80.0,7.9,11
Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy",180000000.0,215098356.0,35098356.0,40479370.0,2017,21-07-2017,137.0,6.5,139792
Jupiter Ascending,"Action,Adventure,Sci-Fi",179000000.0,181982519.0,2982519.0,47482519.0,2015,06-02-2015,127.0,5.3,166327
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",178000000.0,542537546.0,364537546.0,155442489.0,2016,27-05-2016,144.0,7.0,356556
The Meg,"Action,Horror,Sci-Fi",178000000.0,529530715.0,351530715.0,145443742.0,2018,10-08-2018,113.0,5.7,114042
